iter	Passed	Remaining
407	4429	6427
408	4438	6413
409	4447	6399
410	4454	6384
411	4464	6371
412	4471	6355
413	4482	6345
414	4488	6327
415	4499	6316
416	4507	6302
417	4516	6288
418	4527	6278
419	4533	6260
420	4545	6251
421	4553	6236
422	4562	6223
423	4573	6213
424	4580	6196
425	4591	6186
426	4598	6170
427	4606	6156
428	4619	6148
429	4626	6133
430	4637	6121
431	4646	6108
432	4654	6094
433	4666	6085
434	4672	6069
435	4682	6057
436	4692	6045
437	4700	6031
438	4710	6019
439	4717	6004
440	4728	5993
441	4738	5982
442	4747	5968
443	4756	5956
444	4763	5941
445	4773	5929
446	4780	5914
447	4794	5907
448	4806	5898
449	4812	5881
450	4823	5871
451	4833	5859
452	4839	5843
453	4852	5835
454	4858	5819
455	4869	5809
456	4878	5796
457	4885	5781
458	4897	5772
459	4904	5757
460	4914	5746
461	4922	5731
462	4931	5719
463	4943	5710
464	4950	5695
465	4960	5684
466	4969	5671
467	4977	5658
468	4989	5649
469	4997	5635
470	5007	5624
471	5014	5609
472	5024	5598
473	5033	5586
474	5040	5571
475	5051	5560
476	5058	5546
477	5070	5537
478	5079	5524
479	5087	5511
480	5099	5501
481	5105	5486
482	5115	5475
483	5123	5462
484	5132	5449
485	5143	5439
486	5149	5424
487	5161	5415
488	5168	5400
489	5177	5388
490	5185	5375
491	5194	5363
492	5201	5349
493	5212	5338
494	5220	5325
495	5233	5317
496	5243	5306
497	5250	5292
498	5260	5282
499	5269	5269
500	5278	5257
501	5288	5245
502	5296	5232
503	5307	5223
504	5313	5208
505	5322	5196
506	5333	5186
507	5339	5171
508	5349	5160
509	5356	5146
510	5367	5136
511	5374	5122
512	5383	5110
513	5396	5102
514	5403	5088
515	5414	5078
516	5425	5068
517	5431	5054
518	5442	5043
519	5449	5030
520	5460	5020
521	5470	5009
522	5476	4994
523	5485	4983
524	5492	4969
525	5503	4959
526	5510	4945
527	5520	4935
528	5529	4923
529	5538	4911
530	5547	4900
531	5554	4886
532	5566	4877
533	5575	4865
534	5583	4852
535	5593	4842
536	5599	4828
537	5611	4819
538	5618	4805
539	5628	4794
540	5638	4784
541	5647	4772
542	5655	4759
543	5664	4748
544	5672	4735
545	5681	4724
546	5688	4711
547	5698	4700
548	5706	4687
549	5715	4676
550	5725	4665
551	5732	4652
552	5743	4642
553	5750	4629
554	5761	4619
555	5770	4608
556	5777	4594
557	5789	4585
558	5795	4572
559	5805	4561
560	5813	4549
561	5821	4537
562	5833	4527
563	5839	4514
564	5851	4504
565	5858	4492
566	5867	4480
567	5877	4470
568	5884	4456
569	5895	4447
570	5902	4434
571	5913	4424
572	5924	4414
573	5931	4402
574	5943	4393
575	5954	4382
576	5960	4369
577	5973	4361
578	5984	4351
579	5990	4338
580	6000	4327
581	6007	4314
582	6017	4304
583	6025	4292
584	6034	4280
585	6044	4270
586	6051	4257
587	6061	4247
588	6068	4234
589	6079	4224
590	6089	4214
591	6098	4202
592	6109	4193
593	6115	4180
594	6127	4170
595	6135	4159
596	6143	4147
597	6155	4137
598	6160	4124
599	6172	4115
600	6179	4102
601	6188	4091
602	6198	4080
603	6204	4067
604	6215	4058
605	6222	4045
606	6234	4036
607	6244	4025
608	6250	4013
609	6261	4003
610	6268	3991
611	6279	3981
612	6287	3969
613	6295	3957
614	6306	3947
615	6312	3935
616	6323	3925
617	6330	3913
618	6341	3903
619	6350	3892
620	6359	3881
621	6372	3872
622	6381	3861
623	6389	3850
624	6398	3838
625	6405	3827
626	6416	3817
627	6422	3804
628	6434	3795
629	6441	3782
630	6449	3771
631	6460	3761
632	6466	3749
633	6477	3739
634	6484	3727
635	6496	3718
636	6505	3707
637	6513	3695
638	6524	3685
639	6530	3673
640	6541	3663
641	6547	3651
642	6559	3642
643	6571	3632
644	6578	3620
645	6588	3610
646	6594	3598
647	6603	3587
648	6612	3576
649	6620	3564
650	6628	3553
651	6635	3541
