iter	RMSE
606	3336.473965
607	3336.200214
608	3335.938835
609	3335.655523
610	3335.205117
611	3334.399815
612	3334.014286
613	3333.398425
614	3333.079777
615	3332.816336
616	3332.478951
617	3332.102584
618	3331.837652
619	3331.544152
620	3331.221162
621	3330.310089
622	3330.022198
623	3329.612308
624	3329.447314
625	3329.175825
626	3329.005782
627	3328.715932
628	3328.405568
629	3327.711375
630	3327.373869
631	3327.048753
632	3326.80978
633	3326.487983
634	3326.188772
635	3325.760965
636	3325.342041
637	3324.965037
638	3324.635327
639	3324.224709
640	3323.994808
641	3323.507983
642	3323.313349
643	3322.51433
644	3322.243997
645	3321.961176
646	3321.528163
647	3321.161712
648	3320.726314
649	3320.268894
650	3320.064477
651	3319.77231
652	3319.307535
653	3318.811467
654	3318.167893
655	3317.746651
656	3317.309352
657	3317.083379
658	3316.755295
659	3316.559697
660	3316.347081
661	3316.153648
662	3315.940891
663	3315.845592
664	3315.527585
665	3314.721062
666	3314.577392
667	3314.31653
668	3314.169051
669	3313.869691
670	3313.631992
671	3313.335352
672	3313.185385
673	3312.979555
674	3312.814088
675	3312.361551
676	3311.909195
677	3311.657963
678	3311.203043
679	3310.876109
680	3310.615674
681	3310.112087
682	3309.713522
683	3309.46166
684	3309.124849
685	3308.775119
686	3308.095723
687	3307.856455
688	3307.411616
689	3307.154243
690	3306.89381
691	3306.643726
692	3306.374579
693	3305.921792
694	3305.500163
695	3305.121449
696	3304.668277
697	3304.384968
698	3303.910741
699	3303.653101
700	3303.41495
701	3303.130351
702	3302.860103
703	3302.380444
704	3302.245163
705	3302.089768
706	3301.792046
707	3301.628291
708	3301.166117
709	3300.920693
710	3300.55014
711	3300.42546
712	3300.115003
713	3299.841104
714	3299.572589
715	3299.305404
716	3298.974257
717	3298.655033
718	3298.314702
719	3298.033167
720	3297.80932
721	3297.437408
722	3297.263129
723	3296.830861
724	3296.536266
725	3296.235333
726	3296.090486
727	3295.936334
728	3295.67979
729	3295.554109
730	3295.37447
731	3295.184777
732	3294.855887
733	3294.572445
734	3294.429547
735	3294.214464
736	3293.849407
737	3293.283308
738	3292.966735
739	3292.727397
740	3292.458862
741	3291.870872
742	3291.758584
743	3291.283962
744	3291.016127
745	3290.706251
746	3290.432314
747	3290.261554
748	3290.09031
749	3289.870606
750	3289.599497
751	3289.362028
752	3289.281339
753	3289.062022
754	3288.872713
755	3288.608343
756	3288.347893
757	3288.219338
758	3287.914047
759	3287.64386
760	3287.322055
761	3286.854508
762	3286.726526
763	3286.347877
764	3286.178551
765	3285.880278
766	3285.487848
767	3284.998021
768	3284.772927
769	3284.474223
770	3284.048134
771	3283.940566
772	3283.740375
773	3283.570095
774	3283.287619
775	3283.162098
776	3283.005973
777	3282.765587
778	3282.478146
779	3282.092322
780	3281.837108
781	3281.727962
782	3281.391918
783	3281.091228
784	3280.932906
785	3280.764572
786	3280.627759
787	3280.29725
788	3280.207208
789	3280.005647
790	3279.872144
791	3279.527573
792	3279.260522
793	3279.069748
794	3278.852661
795	3278.742081
796	3278.613138
797	3278.424257
798	3278.078689
799	3277.956399
800	3277.644332
801	3277.398572
802	3276.895093
803	3275.865805
804	3275.74993
805	3275.44427
806	3275.291216
807	3274.916202
808	3274.648933
809	3274.33511
810	3274.153855
811	3273.068044
812	3272.879974
813	3272.778327
814	3272.701465
815	3272.501685
816	3272.331379
817	3272.084803
818	3271.728146
819	3271.239914
820	3271.027479
821	3270.791774
822	3270.54905
823	3270.36099
824	3270.17843
825	3269.801226
826	3269.572877
827	3269.063746
828	3268.858302
829	3268.562301
830	3268.235865
831	3267.981355
832	3267.881072
833	3267.528988
834	3267.337784
835	3267.211577
836	3266.851403
837	3266.597713
838	3266.316204
839	3266.102698
840	3265.936274
841	3265.746991
842	3265.515378
843	3265.422107
844	3265.092435
845	3264.898085
846	3264.786495
847	3264.652286
848	3264.336646
849	3264.136775
850	3263.737058
851	3263.327943
852	3262.840354
853	3262.622991
854	3262.484573
855	3262.308858
856	3261.993634
857	3261.827092
858	3261.718121
859	3261.576641
860	3261.441383
861	3261.222534
862	3260.819567
863	3260.435577
864	3260.063053
865	3259.734701
866	3259.550073
867	3259.149414
868	3258.925131
869	3258.654155
870	3258.467014
871	3258.366769
872	3258.109932
873	3257.886684
874	3257.635829
875	3257.428918
876	3257.253723
877	3257.185411
878	3257.038204
879	3256.73043
880	3256.557339
881	3256.238734
882	3256.063221
883	3255.896528
884	3255.746833
885	3255.28521
886	3255.120235
887	3254.932053
888	3254.703874
889	3254.586929
890	3254.473896
891	3254.113211
892	3253.945687
893	3253.788612
894	3253.682954
895	3253.469848
896	3253.328221
897	3252.946163
898	3252.645503
899	3252.326302
900	3252.156496
901	3251.82654
902	3251.583401
903	3251.47932
904	3251.15503
905	3251.018762
906	3250.246019
907	3250.076118
908	3249.911917
909	3249.842887
910	3249.497959
911	3249.3403
912	3249.151299
913	3248.907
914	3248.766347
915	3248.571262
916	3248.26719
917	3248.04285
918	3247.778371
919	3247.472606
920	3247.267714
921	3246.919844
922	3246.755681
923	3246.546597
924	3246.340173
925	3246.05279
926	3245.898668
927	3245.795119
928	3245.605741
929	3245.461298
930	3245.114131
931	3244.944258
932	3244.635015
933	3244.536919
934	3244.416387
935	3244.169683
936	3243.973344
937	3243.6779
938	3243.592951
939	3243.42465
940	3243.091208
941	3242.815865
942	3242.682108
943	3242.515637
944	3242.359855
945	3242.120758
946	3241.90994
947	3241.834553
948	3241.559427
949	3241.242758
950	3241.041609
951	3240.849873
952	3240.622732
953	3240.488954
954	3240.072314
955	3239.802081
956	3239.681549
957	3239.441721
958	3239.224792
959	3238.984117
960	3238.920694
961	3238.792894
962	3238.566497
963	3238.476107
964	3238.298397
965	3238.055865
966	3237.809389
967	3237.57765
968	3237.414438
969	3237.071553
970	3236.962239
971	3236.860547
972	3236.695754
973	3236.539157
974	3236.408407
975	3236.2358
976	3235.88902
977	3235.76485
978	3235.495959
979	3235.274546
980	3234.905023
981	3234.611308
982	3234.445614
983	3234.300791
984	3234.155392
985	3234.065372
986	3233.791996
987	3233.715519
988	3233.510124
989	3233.337798
990	3233.080915
991	3232.890808
992	3232.667067
993	3232.380314
994	3232.057653
995	3231.83329
996	3231.778626
997	3231.579575
998	3231.427711
999	3231.161004
