model,mileage,vol_engine,fuel,price(usd)
a3,64000,1498,2,25250.0
clio,100000,1149,2,1225.0
a4,198420,1968,1,8000.0
c-klasa,194000,1998,2,1475.0
octavia,222000,1968,1,10475.0
octavia,185000,1395,2,14475.0
fiesta,125000,1242,2,2249.75
e-klasa,293720,2143,1,8997.5
seria-1,139000,1598,2,10625.0
leon,228000,1984,2,4075.0
octavia,220000,1984,2,15725.0
golf,72100,1395,2,18749.75
fabia,167000,999,2,7225.0
seria-1,23000,1998,2,21750.0
a4,211300,1781,2,2100.0
qashqai,151507,1461,1,14975.0
i30,12085,1498,2,18250.0
mondeo,188600,1596,2,7249.75
astra,277000,1598,2,2249.75
a4,84000,1984,2,7000.0
sportage,178000,1995,1,15725.0
focus,197000,1498,1,8725.0
a3,89520,1500,2,21225.0
mondeo,168000,1498,1,12375.0
megane,200000,1461,1,2400.0
leon,62000,1984,2,21475.0
leon,187600,1598,2,2999.75
a6,154000,1968,1,19725.0
golf,263637,1390,2,1425.0
octavia,270000,1896,1,4975.0
a4,227600,1798,2,8375.0
corsa,43250,1229,2,9725.0
a4,278000,1968,1,8725.0
golf,107000,1598,1,13249.75
megane,125300,1397,2,5950.0
golf,295000,1896,1,1175.0
astra,98000,1598,1,11125.0
qashqai,17000,1997,2,23725.0
seria-5,160360,1995,1,14625.0
focus,139000,999,2,8225.0
astra,177100,1364,2,2625.0
megane,26700,1461,1,14475.0
seria-1,143500,1995,1,17475.0
a4,199000,1968,1,24975.0
a6,144000,1984,2,17975.0
sportage,224000,1991,1,5475.0
sportage,67818,1591,2,18725.0
passat,149563,1798,2,21225.0
megane,190000,1461,1,3975.0
ceed,137000,1582,1,9975.0
focus,175683,1997,1,12475.0
passat,134254,1968,1,22475.0
fabia,131000,1200,2,8725.0
astra,130000,1364,2,3250.0
sportage,165747,1591,0,11475.0
octavia,17488,1498,2,31247.5
passat,25700,1798,2,30000.0
seria-3,270000,1995,0,4500.0
megane,179000,1598,2,5749.75
a6,262000,2393,0,6625.0
seria-3,181000,2000,2,5475.0
a3,169000,1390,2,6425.0
focus,185000,1498,1,7475.0
corsa,129500,1398,2,9975.0
qashqai,189000,1997,2,7475.0
a6,231000,1968,1,5500.0
golf,217000,1968,1,14250.0
a6,172032,1968,1,22475.0
passat,19800,1968,1,24475.0
golf,97138,1395,2,14975.0
a4,211000,1984,2,2050.0
mondeo,315000,1997,1,4975.0
sportage,182500,1975,0,8725.0
astra,135000,1598,1,12475.0
a6,92795,1968,1,21875.0
focus,172000,1498,1,10225.0
sportage,7,1591,2,34776.0
fabia,106001,999,2,11975.0
focus,172000,1596,2,3650.0
seria-3,248385,2171,0,5225.0
qashqai,61200,1618,2,22475.0
megane,119025,1598,1,16725.0
mondeo,220000,2179,1,6975.0
mondeo,140122,1999,2,5250.0
ceed,225000,1396,2,3125.0
ceed,221604,1991,1,4875.0
corsa,170000,1229,2,3475.0
seria-3,34638,1499,2,25975.0
a3,176257,1390,2,7499.75
fiesta,256509,1498,1,4975.0
fiesta,147258,1388,0,5500.0
fabia,53590,999,2,13725.0
seria-1,196779,1995,2,5275.0
insignia,292000,1998,0,10000.0
a6,241000,1968,1,22475.0
qashqai,208650,1997,2,6450.0
fiesta,9800,998,2,14225.0
passat,210600,1598,1,8700.0
astra,189000,1598,2,2475.0
fiesta,179000,1388,2,2225.0
mondeo,147000,1997,1,5475.0
astra,171100,1598,2,5875.0
passat,80000,1968,1,15475.0
a3,251000,1595,2,5975.0
golf,260864,1968,1,3225.25
a6,274000,1968,1,12425.0
mondeo,181129,1997,1,9425.0
mondeo,247000,1753,1,4700.0
astra,189159,1598,1,9378.75
i30,219000,1582,1,7475.0
seria-1,132318,1596,2,4975.0
mondeo,159000,1753,1,5975.0
focus,154952,1596,2,4475.0
octavia,229500,1598,1,5625.0
seria-5,216000,1995,1,12975.0
octavia,231000,1896,1,4475.0
e-klasa,290467,2151,1,1375.0
corsa,108000,1229,2,3500.0
ceed,10,998,2,19672.5
leon,11740,1498,2,21725.0
ceed,112000,1591,2,10425.0
octavia,185800,1197,2,5375.0
megane,207157,1197,2,8750.0
insignia,261000,1956,1,8975.0
megane,87300,1197,2,16475.0
mondeo,170000,1999,2,4975.0
insignia,152034,1796,2,7475.0
leon,239000,1896,1,2475.0
megane,185721,1598,2,3000.0
a6,146700,1968,1,19225.0
seria-3,212377,1995,1,7500.0
octavia,189956,1968,1,14225.0
corsa,165500,1398,2,5475.0
fiesta,126000,1242,2,4449.75
insignia,96000,1956,1,18725.0
octavia,82475,1984,2,26225.0
leon,96300,1598,1,14725.0
megane,146500,1397,2,6475.0
insignia,215762,1956,1,12225.0
octavia,239000,1968,1,5725.0
sportage,91635,1685,1,15250.0
astra,67413,1399,2,15500.0
qashqai,170000,1997,2,7475.0
golf,156381,1390,2,11500.0
fiesta,128000,998,2,7225.0
seria-5,215000,1995,1,16225.0
seria-3,103800,1995,2,8975.0
e-klasa,298000,2148,1,5975.0
megane,1,1332,2,28225.0
seria-3,119000,1598,2,11725.0
insignia,87500,1998,2,33725.0
passat,121800,1968,1,22000.0
golf,276200,1896,1,2875.0
a4,224000,1781,2,4225.0
megane,159828,1598,2,6475.0
a4,317000,1968,1,9975.0
e-klasa,219056,2143,1,15975.0
golf,214000,1595,2,3475.0
mondeo,241000,1997,1,5975.0
a6,190000,1968,1,14675.0
golf,182000,1390,2,4725.0
seria-3,174000,1995,2,4625.0
c-klasa,104000,2143,1,19125.0
seria-1,1,1499,2,33175.0
seria-1,144744,1596,2,3749.75
seria-3,127447,1995,1,22425.0
seria-5,151500,1995,1,5249.75
seria-3,122450,1995,2,1975.0
e-klasa,122000,1796,2,13750.0
a6,194000,2698,1,9975.0
corsa,119000,1398,0,9975.0
seria-3,240000,1995,2,7475.0
focus,243000,1595,2,2225.0
corsa,50112,1200,2,5475.0
octavia,109200,1395,2,14975.0
corsa,1,1199,2,17297.5
e-klasa,235000,1998,2,4575.0
seria-1,181000,1599,2,4475.0
octavia,143314,1968,1,21499.75
focus,46600,1498,1,14975.0
passat,29466,1984,2,29975.0
golf,305750,1595,0,4925.0
fabia,206400,1198,2,2825.0
focus,76900,1499,1,12725.0
astra,172000,1598,2,6249.75
astra,223000,1910,1,2075.0
clio,107254,1618,2,8450.0
astra,98795,1598,2,8225.0
a4,34414,1984,2,32475.0
ceed,106700,1582,1,9497.5
focus,195000,1596,2,6749.75
i30,135000,1396,1,7475.0
mondeo,180909,1999,2,4999.75
golf,144000,1598,2,3475.0
seria-3,248000,1995,2,3997.5
astra,164000,1364,2,6925.0
seria-5,80560,1995,1,35875.0
clio,246572,1149,0,800.0
insignia,109851,1598,1,19725.0
seria-3,94000,1995,1,21475.0
octavia,155000,1395,2,14475.0
octavia,107100,1598,1,19775.0
megane,10,1332,2,25127.5
corsa,153000,1248,1,1925.0
insignia,163000,1598,2,7475.0
a4,219321,1968,1,8975.0
seria-3,187667,1598,2,11250.0
clio,126427,898,2,8250.0
fiesta,102000,1242,2,6475.0
megane,137863,1598,2,9975.0
a3,255810,1598,2,4175.0
seria-5,280000,1995,1,13000.0
seria-5,141500,1995,1,33725.0
clio,242119,1149,2,3725.0
leon,208400,1598,1,10250.0
insignia,252000,1956,1,9725.0
sportage,212000,1998,1,11375.0
sportage,200000,1975,0,7475.0
fiesta,166134,998,2,8475.0
astra,140213,1364,2,6625.0
fabia,52700,999,2,12475.0
corsa,149000,1398,2,5575.0
seria-5,106020,1995,1,31875.0
a4,251012,1781,2,3125.0
seria-1,20000,1995,1,36225.0
mondeo,105000,1498,2,13530.0
corsa,89000,1229,2,5300.0
a6,293000,1968,1,17250.0
a4,272000,1968,1,9500.0
corsa,44000,1229,2,3975.0
ceed,5,998,2,21315.75
mondeo,287000,1798,0,1475.0
focus,121000,999,2,6625.0
a3,319000,1896,1,1374.75
a3,150044,1798,2,13500.0
corsa,192000,1248,1,1950.0
e-klasa,220000,1991,2,17000.0
a4,255000,2400,2,2487.5
golf,131448,1390,2,6700.0
a6,62000,1984,2,25000.0
astra,275461,1598,2,2225.0
c-klasa,96000,1991,2,37475.0
ceed,137365,1582,1,7475.0
mondeo,147000,1997,1,12925.0
insignia,221600,1956,1,6125.0
fiesta,185300,1399,1,3125.0
a4,198000,1984,2,8225.0
a4,232000,1968,1,11225.0
a3,212440,1968,1,5999.75
seria-3,318000,1995,1,5625.0
sportage,44292,1591,2,22475.0
passat,140000,1968,1,8975.0
leon,210575,1390,2,4250.0
octavia,92707,1598,1,16699.75
insignia,130000,1956,1,9725.0
sportage,175100,1998,0,11725.0
focus,210000,1498,1,7475.0
seria-1,268000,1995,1,9875.0
qashqai,158000,1600,0,8975.0
megane,35300,1461,1,20400.0
qashqai,189300,1598,2,7225.0
passat,280000,1781,2,750.0
seria-5,294650,2497,2,7875.0
seria-1,149874,1598,2,7925.0
astra,190250,1956,1,4950.0
astra,156300,1796,2,1499.75
passat,147692,1968,1,27475.0
a3,190000,1968,1,6475.0
corsa,127800,1364,2,4499.75
octavia,163243,1798,2,6475.0
leon,142000,1598,1,9225.0
focus,102000,999,2,15975.0
qashqai,128000,1997,2,12475.0
octavia,198650,1595,2,4225.0
qashqai,39000,1197,2,18500.0
golf,68000,1390,2,7125.0
golf,159000,1598,1,12225.0
astra,153000,1796,2,4475.0
astra,131000,1598,1,9749.75
seria-1,160000,1599,2,5500.0
a6,256000,1968,1,7725.0
seria-5,243500,2171,2,1975.0
a4,80419,1595,2,5375.0
fabia,100000,1422,1,9975.0
c-klasa,136539,1595,2,13500.0
megane,154200,1198,2,8249.75
seria-1,52402,1499,2,13725.0
clio,109452,1149,0,10225.0
octavia,176000,1968,1,12375.0
focus,178914,1997,1,16975.0
e-klasa,241000,2597,2,5700.0
astra,205243,1598,2,1050.0
clio,176000,1149,2,1225.0
a4,226000,1968,1,14975.0
seria-5,245000,1995,1,15500.0
octavia,163840,1798,2,6750.0
mondeo,96262,1499,0,16212.5
corsa,37000,1364,2,9475.0
megane,1,1332,2,24462.5
