model,mileage,vol_engine,fuel,price(usd)
17,168000,1498,1,12375.0
16,200000,1461,1,2400.0
15,62000,1984,2,21475.0
15,187600,1598,2,2999.75
2,154000,1968,1,19725.0
12,263637,1390,2,1425.0
18,270000,1896,1,4975.0
1,227600,1798,2,8375.0
7,43250,1229,2,9725.0
1,278000,1968,1,8725.0
12,107000,1598,1,13249.75
16,125300,1397,2,5950.0
12,295000,1896,1,1175.0
3,98000,1598,1,11125.0
20,17000,1997,2,23725.0
23,160360,1995,1,14625.0
11,139000,999,2,8225.0
3,177100,1364,2,2625.0
16,26700,1461,1,14475.0
21,143500,1995,1,17475.0
1,199000,1968,1,24975.0
2,144000,1984,2,17975.0
24,224000,1991,1,5475.0
24,67818,1591,2,18725.0
19,149563,1798,2,21225.0
16,190000,1461,1,3975.0
5,137000,1582,1,9975.0
11,175683,1997,1,12475.0
19,134254,1968,1,22475.0
9,131000,1200,2,8725.0
3,130000,1364,2,3250.0
24,165747,1591,0,11475.0
18,17488,1498,2,31247.5
19,25700,1798,2,30000.0
22,270000,1995,0,4500.0
16,179000,1598,2,5749.75
2,262000,2393,0,6625.0
22,181000,2000,2,5475.0
0,169000,1390,2,6425.0
11,185000,1498,1,7475.0
7,129500,1398,2,9975.0
20,189000,1997,2,7475.0
2,231000,1968,1,5500.0
12,217000,1968,1,14250.0
2,172032,1968,1,22475.0
19,19800,1968,1,24475.0
12,97138,1395,2,14975.0
1,211000,1984,2,2050.0
17,315000,1997,1,4975.0
24,182500,1975,0,8725.0
3,135000,1598,1,12475.0
2,92795,1968,1,21875.0
11,172000,1498,1,10225.0
24,7,1591,2,34776.0
9,106001,999,2,11975.0
11,172000,1596,2,3650.0
22,248385,2171,0,5225.0
20,61200,1618,2,22475.0
16,119025,1598,1,16725.0
17,220000,2179,1,6975.0
17,140122,1999,2,5250.0
5,225000,1396,2,3125.0
5,221604,1991,1,4875.0
7,170000,1229,2,3475.0
22,34638,1499,2,25975.0
0,176257,1390,2,7499.75
10,256509,1498,1,4975.0
10,147258,1388,0,5500.0
9,53590,999,2,13725.0
21,196779,1995,2,5275.0
14,292000,1998,0,10000.0
2,241000,1968,1,22475.0
20,208650,1997,2,6450.0
10,9800,998,2,14225.0
19,210600,1598,1,8700.0
3,189000,1598,2,2475.0
10,179000,1388,2,2225.0
17,147000,1997,1,5475.0
3,171100,1598,2,5875.0
19,80000,1968,1,15475.0
0,251000,1595,2,5975.0
12,260864,1968,1,3225.25
2,274000,1968,1,12425.0
17,181129,1997,1,9425.0
17,247000,1753,1,4700.0
3,189159,1598,1,9378.75
13,219000,1582,1,7475.0
21,132318,1596,2,4975.0
17,159000,1753,1,5975.0
11,154952,1596,2,4475.0
18,229500,1598,1,5625.0
23,216000,1995,1,12975.0
18,231000,1896,1,4475.0
8,290467,2151,1,1375.0
7,108000,1229,2,3500.0
5,10,998,2,19672.5
15,11740,1498,2,21725.0
5,112000,1591,2,10425.0
18,185800,1197,2,5375.0
16,207157,1197,2,8750.0
14,261000,1956,1,8975.0
16,87300,1197,2,16475.0
17,170000,1999,2,4975.0
14,152034,1796,2,7475.0
15,239000,1896,1,2475.0
16,185721,1598,2,3000.0
2,146700,1968,1,19225.0
22,212377,1995,1,7500.0
18,189956,1968,1,14225.0
7,165500,1398,2,5475.0
10,126000,1242,2,4449.75
14,96000,1956,1,18725.0
18,82475,1984,2,26225.0
15,96300,1598,1,14725.0
16,146500,1397,2,6475.0
14,215762,1956,1,12225.0
18,239000,1968,1,5725.0
24,91635,1685,1,15250.0
3,67413,1399,2,15500.0
20,170000,1997,2,7475.0
12,156381,1390,2,11500.0
10,128000,998,2,7225.0
23,215000,1995,1,16225.0
22,103800,1995,2,8975.0
8,298000,2148,1,5975.0
16,1,1332,2,28225.0
22,119000,1598,2,11725.0
14,87500,1998,2,33725.0
19,121800,1968,1,22000.0
12,276200,1896,1,2875.0
1,224000,1781,2,4225.0
16,159828,1598,2,6475.0
1,317000,1968,1,9975.0
8,219056,2143,1,15975.0
12,214000,1595,2,3475.0
17,241000,1997,1,5975.0
2,190000,1968,1,14675.0
12,182000,1390,2,4725.0
22,174000,1995,2,4625.0
4,104000,2143,1,19125.0
21,1,1499,2,33175.0
21,144744,1596,2,3749.75
22,127447,1995,1,22425.0
23,151500,1995,1,5249.75
22,122450,1995,2,1975.0
8,122000,1796,2,13750.0
2,194000,2698,1,9975.0
7,119000,1398,0,9975.0
22,240000,1995,2,7475.0
11,243000,1595,2,2225.0
7,50112,1200,2,5475.0
18,109200,1395,2,14975.0
7,1,1199,2,17297.5
8,235000,1998,2,4575.0
21,181000,1599,2,4475.0
18,143314,1968,1,21499.75
11,46600,1498,1,14975.0
19,29466,1984,2,29975.0
12,305750,1595,0,4925.0
9,206400,1198,2,2825.0
11,76900,1499,1,12725.0
3,172000,1598,2,6249.75
3,223000,1910,1,2075.0
6,107254,1618,2,8450.0
3,98795,1598,2,8225.0
1,34414,1984,2,32475.0
5,106700,1582,1,9497.5
11,195000,1596,2,6749.75
13,135000,1396,1,7475.0
17,180909,1999,2,4999.75
12,144000,1598,2,3475.0
22,248000,1995,2,3997.5
3,164000,1364,2,6925.0
23,80560,1995,1,35875.0
6,246572,1149,0,800.0
14,109851,1598,1,19725.0
22,94000,1995,1,21475.0
18,155000,1395,2,14475.0
18,107100,1598,1,19775.0
16,10,1332,2,25127.5
7,153000,1248,1,1925.0
14,163000,1598,2,7475.0
1,219321,1968,1,8975.0
22,187667,1598,2,11250.0
6,126427,898,2,8250.0
10,102000,1242,2,6475.0
16,137863,1598,2,9975.0
0,255810,1598,2,4175.0
23,280000,1995,1,13000.0
23,141500,1995,1,33725.0
6,242119,1149,2,3725.0
15,208400,1598,1,10250.0
14,252000,1956,1,9725.0
24,212000,1998,1,11375.0
24,200000,1975,0,7475.0
10,166134,998,2,8475.0
3,140213,1364,2,6625.0
9,52700,999,2,12475.0
7,149000,1398,2,5575.0
23,106020,1995,1,31875.0
1,251012,1781,2,3125.0
21,20000,1995,1,36225.0
17,105000,1498,2,13530.0
7,89000,1229,2,5300.0
2,293000,1968,1,17250.0
1,272000,1968,1,9500.0
7,44000,1229,2,3975.0
5,5,998,2,21315.75
17,287000,1798,0,1475.0
11,121000,999,2,6625.0
0,319000,1896,1,1374.75
0,150044,1798,2,13500.0
7,192000,1248,1,1950.0
8,220000,1991,2,17000.0
1,255000,2400,2,2487.5
12,131448,1390,2,6700.0
2,62000,1984,2,25000.0
3,275461,1598,2,2225.0
4,96000,1991,2,37475.0
5,137365,1582,1,7475.0
17,147000,1997,1,12925.0
14,221600,1956,1,6125.0
10,185300,1399,1,3125.0
1,198000,1984,2,8225.0
1,232000,1968,1,11225.0
0,212440,1968,1,5999.75
22,318000,1995,1,5625.0
24,44292,1591,2,22475.0
19,140000,1968,1,8975.0
15,210575,1390,2,4250.0
18,92707,1598,1,16699.75
14,130000,1956,1,9725.0
24,175100,1998,0,11725.0
11,210000,1498,1,7475.0
21,268000,1995,1,9875.0
20,158000,1600,0,8975.0
16,35300,1461,1,20400.0
20,189300,1598,2,7225.0
19,280000,1781,2,750.0
23,294650,2497,2,7875.0
21,149874,1598,2,7925.0
3,190250,1956,1,4950.0
3,156300,1796,2,1499.75
19,147692,1968,1,27475.0
0,190000,1968,1,6475.0
7,127800,1364,2,4499.75
18,163243,1798,2,6475.0
15,142000,1598,1,9225.0
11,102000,999,2,15975.0
20,128000,1997,2,12475.0
18,198650,1595,2,4225.0
20,39000,1197,2,18500.0
12,68000,1390,2,7125.0
12,159000,1598,1,12225.0
3,153000,1796,2,4475.0
3,131000,1598,1,9749.75
21,160000,1599,2,5500.0
2,256000,1968,1,7725.0
23,243500,2171,2,1975.0
1,80419,1595,2,5375.0
9,100000,1422,1,9975.0
4,136539,1595,2,13500.0
16,154200,1198,2,8249.75
21,52402,1499,2,13725.0
6,109452,1149,0,10225.0
18,176000,1968,1,12375.0
11,178914,1997,1,16975.0
8,241000,2597,2,5700.0
3,205243,1598,2,1050.0
6,176000,1149,2,1225.0
1,226000,1968,1,14975.0
23,245000,1995,1,15500.0
18,163840,1798,2,6750.0
17,96262,1499,0,16212.5
7,37000,1364,2,9475.0
16,1,1332,2,24462.5
13,5,1498,2,21500.0
5,90159,1368,2,12475.0
21,204000,1599,2,5500.0
20,20350,1332,2,21975.0
6,105209,1149,2,8700.0
20,264998,1598,2,8475.0
